Pattern,ClusterNumber1,,Count,Cluster_number.Record.,paste..Cluster....Cluster_number.Record..
有効成分（[Number][Unit]（[Number][Unit]）中）<BR>[ActIngreName]：[Number][Unit],88,29,4,5,Cluster  5
有効成分（[Number][Unit]（[Unit]）中）<BR>[ActIngreName][Number][Unit],88,29,3,5,Cluster  5
有効成分（含量[Number][Unit]中）<BR>[ActIngreName]（[Number][Unit]）[ActIngreName]（[Number][Unit]）,88,29,1,5,Cluster  5
有効成分（含量（[Number][Unit][Number][Unit]中））<BR>[ActIngreName]を[ActIngreName]（[ActIngreShortName]）として[Number][Unit][ActIngreName][Number][Unit],88,29,1,5,Cluster  5
有効成分（含量）<BR>[ActIngreName]（[Number][Unit]）,41,31,5,5,Cluster  5
有効成分（含量）<BR>[Number][Unit]中：[ActIngreName]（[Number][Unit]）,88,29,2,5,Cluster  5
有効成分（含量）（[Number][Unit]中）<BR>[ActIngreName]（[Number][Unit]）,88,29,1,5,Cluster  5
有効成分：<BR>[ActIngreName][Number][Unit]<<BR>>有効成分：<BR>[ActIngreName][Number][Unit]<<BR>>有効成分：<BR>[ActIngreName][Number][Unit],88,29,2,5,Cluster  5
有効成分：<BR>[DrugParts][Number][Unit]（[Number][Unit]）中[ActIngreName][Number][Unit],88,29,2,5,Cluster  5
有効成分：<BR>[Number][Unit]中[ActIngreName][Number][Unit],88,29,15,5,Cluster  5
有効成分：<BR>[Number][Unit]中[ActIngreName][Number][Unit]含有,72,23,1,5,Cluster  5
有効成分：<BR>[Number][Unit]中[ActIngreName][Number][Unit]（[ActIngreName]として[Number][Unit]）,88,29,4,5,Cluster  5
有効成分：<BR>[Number][Unit]（[Number][Unit]）中[ActIngreName][Number][Unit],88,29,2,5,Cluster  5
有効成分：<BR>[Number][Unit]（[Number][Unit]）中[ActIngreName][Number][Unit]<<BR>>[Number][Unit]中[ActIngreName][Number][Unit],88,29,1,5,Cluster  5
有効成分：<BR>[Number][Unit]（[Number][Unit]）中[ActIngreName][Number][Unit][Number][Unit]中[ActIngreName][Number][Unit],88,29,2,5,Cluster  5
有効成分：<BR>[Number][Unit]（[Number][Unit]）中[ActIngreName][Number][Unit]〔[DrugParts]：[ActIngreName][Number][Unit]〕〔[DrugParts]：[ActIngreName][Number][Unit]〕,88,29,1,5,Cluster  5
有効成分：<BR>[Number][Unit]（[Number][Unit]）中[ActIngreName][Number][Unit]（[ActIngreName]として[Number][Unit]）,88,29,1,5,Cluster  5
有効成分：<BR>[Number][Unit]（[Number][Unit]）中[ActIngreName][Number][Unit]（[ElectIon][Number][Unit]）,88,29,1,5,Cluster  5
有効成分：<BR>[Number][Unit]（[Number][Unit]）中[ActIngreName][Number][Unit]［[DrugParts]：[ActIngreName][Number][Unit]］［[DrugParts]：[ActIngreName][Number][Unit]］,88,29,1,5,Cluster  5
有効成分：[ActIngreName]<BR>[Number][Unit],88,29,4,5,Cluster  5
有効成分：[ActIngreName]<BR>[Number][Unit]中の分量：[Number][Unit]<<BR>>有効成分：[ActIngreName]<BR>[Number][Unit]中の分量：[Number][Unit],24,27,1,5,Cluster  5
有効成分：[ActIngreName]<BR>[Number][Unit]（[Number][Unit]）中：[Number][Unit],88,29,1,5,Cluster  5
有効成分：[Number][Unit]中<BR>[ActIngreName][Number][Unit]<<BR>>有効成分：[Number][Unit]中<BR>[ActIngreName][Number][Unit],88,29,1,5,Cluster  5
有効成分：[Number][Unit]中<BR>[ActIngreName][Number][Unit][ActIngreName][Number][Unit]（[ActIngreName]として[Number][Unit]）,88,29,1,5,Cluster  5
有効成分：[Number][Unit]中[ActIngreName][Number][Unit]<<BR>>内容量（[Unit]）：[Number]<<BR>>[ActIngreName]含有量（ｍｇ／[Unit]）：[Number]<<BR>>[Number][Unit]中の[ActIngreName]含有量（[Unit]）：[Number],85,35,1,5,Cluster  5
有効成分：[Number][Unit]中の含有量<BR>[ActIngreName]：[Number][Unit],72,23,4,5,Cluster  5
有効成分：[Number][Unit]中の含有量<BR>[ActIngreName]：[Number][Unit][ActIngreName]：[Number][Unit],72,23,1,5,Cluster  5
有効成分：含量（[Number][Unit]中）<BR>[ActIngreName]：[Number][Unit][ActIngreName]：[Number][Unit]（[Number][Unit]）,88,29,1,5,Cluster  5
本剤は[Number][Unit]中[ActIngreName][Number][Unit]に[ActIngreName]量として[Number][Unit]（[Number][Unit]）を含有する．<<BR>>内容量（[Unit]）<BR>[Number]<<BR>>[ActIngreName]含有量（ｍｇ／[Unit]）<BR>[Number]<<BR>>[Number][Unit]中の[ActIngreName]含有量（[Unit]）<BR>[Number],85,35,1,5,Cluster  5
本剤は[Number][Unit]中に[ActIngreName][Number][Unit]（[ActIngreName]として[Number][Unit]）を含有する<<BR>>[ActIngreName]含有量（ｍｇ／[Unit]）<BR>[Number]<<BR>>内容量（[Unit]）<BR>[Number]<<BR>>[Number][Unit]中の[ActIngreName]含有量（[Unit]）<BR>[Number],85,35,6,5,Cluster  5
本剤は[Number][Unit]中に[ActIngreName][Number][Unit]（[ActIngreName]量として[Number][Unit]に相当する）を含有する<<BR>>[ActIngreName]含有量（ｍｇ／[Unit]）<BR>[Number]<<BR>>内容量（[Unit]）<BR>[Number]<<BR>>有効成分：[ActIngreName]（[Unit]）（[ActIngreName]含有量（[Unit]））<BR>[Number]（[Number]）,85,35,16,5,Cluster  5
本剤は[Number][Unit]（[Number][Unit]）中に下記の成分を含有する<<BR>>有効成分<BR>[ActIngreName][Number]＄：[ActIngreName]の活性は標準品を基準にして生物学的測定法により測定し＄で表示されている,78,33,2,5,Cluster  5
本品[Number][Unit]中[ActIngreName][Number][Unit]含有（参考）「[ActIngreName]エビオス」の化学的組成および主要成分含量（標準値）<<BR>>（[Number]）一般組成<BR>エネルギー[Number][Unit][Number][Unit][ActIngreName][Number][Unit][ActIngreName][Number][Unit]たんぱく質[Number][Unit][ActIngreName][Number][Unit][ActIngreName][Number][Unit]<<BR>>（[Number]）[ActIngreName]<BR>[ActIngreName][Number][Unit][ActIngreName][Number][Unit][ActIngreName][Number][Unit][ActIngreName][Number][Unit][ActIngreName][Number][Unit][ActIngreName][Number][Unit][ActIngreName][Number][Unit][ActIngreName][Number][Unit][ActIngreName][Number][Unit]<<BR>>（[Number]）[ActIngreName]<BR>[Number]種の[ActIngreName]をはじめとする[Number]数種の[ActIngreName]を含有したん白質の[ActIngreName]組成としては動物性たん白質に類似している[ActIngreName][Number][Unit][ActIngreName][Number][Unit][ActIngreName][Number][Unit][ActIngreName][Number][Unit][ActIngreName][Number][Unit][ActIngreName][Number][Unit][ActIngreName][Number][Unit][ActIngreName][Number][Unit][ActIngreName][Number][Unit][ActIngreName][Number][Unit][ActIngreName][Number][Unit][ActIngreName][Number][Unit][ActIngreName][Number][Unit][ActIngreName][Number][Unit][ActIngreName][Number][Unit][ActIngreName][Number][Unit][ActIngreName][Number][Unit][ActIngreName][Number][Unit],78,33,1,5,Cluster  5
本製品は[BrandName][CaseName]及び[CaseName]からなる<<BR>>[BrandName][CaseName]成分含量（[Number][Unit][Number][Unit]中））<BR>[ActIngreName][Number][Unit],35,38,1,5,Cluster  5
本製品は[BrandName]（[Number][Unit]）の[CaseName]専用希釈液（[Number][Unit]）及び専用フィルターセットからなる（「包装」の項参照）<<BR>>成分含量<BR>[Number][Unit]（[Number][Unit]）中に[ActIngreName]を[Number][Unit]含有する,35,38,1,5,Cluster  5
本製品は以下の[Number][Unit]を組み合わせたものである<<BR>>[Number][Unit]（[Number][Unit]）中<BR>[BrandName][Number][Unit][BrandName][Number][Unit][BrandName][Number][Unit]<<BR>>[Number][Unit]各々の組成は次のとおりである<<BR>>[BrandName]<BR>[Number][Unit]中の有効成分[ActIngreName][Number][Unit],89,25,1,5,Cluster  5
本製品は以下の[Number][Unit]を組み合わせたものである<<BR>>[Number][Unit]（[Number][Unit]）中<BR>[BrandName][Number][Unit][BrandName][Number][Unit]クラリス[Form][Number][Unit]<<BR>>[Number][Unit]各々の組成は次のとおりである<<BR>>[BrandName]<BR>[Number][Unit]中の有効成分[ActIngreName][Number][Unit],89,25,2,5,Cluster  5
液[Number][Unit]中に次の成分を含有<<BR>>有効成分<BR>[ActIngreName][ActIngreName]として[Number][Unit],28,24,1,5,Cluster  5
液[Number][Unit]中に次の成分を含有<<BR>>有効成分<BR>[ActIngreName]（[ActIngreName]として）[Number][Unit],28,24,1,5,Cluster  5
組成<BR>[BrandName]（[Number][Unit][Number][Unit]中）<<BR>>有効成分<BR>[ActIngreName][Number][Unit],89,25,2,5,Cluster  5
組成<BR>[Number][Unit]中に次の成分を含有する[ActIngreName]…[Number][Unit][ActIngreName]…[Number][Unit],28,24,2,5,Cluster  5
組成<BR>[Number][Unit]（[Number][Unit]）中の含量<<BR>>有効成分<BR>[ActIngreName]：[Number][Unit][ActIngreName]：[Number][Unit],88,29,1,5,Cluster  5
製剤（容量）<BR>[Number][Unit][Number][Unit]<<BR>>[Number][Unit]中の有効成分<BR>[ActIngreName][Number][Unit],98,30,3,5,Cluster  5
製品名<BR>[BrandName]<<BR>>有効成分（[Number][Unit]中）<BR>[ActIngreName][Number][Unit],34,36,1,5,Cluster  5
規格<BR>[Number][Unit]<<BR>>有効成分（[Number][Unit]中）<BR>[ActIngreName][Number][Unit],88,29,9,5,Cluster  5
販売名<BR>[BrandName]<<BR>>容量（[Number][Unit]中）<BR>[Number][Unit]<<BR>>[ActIngreName]含量[Number][Unit]中<BR>[Number][Unit]<<BR>>[ActIngreName]含量[Number][Unit]中<BR>[Number][Unit],76,37,3,5,Cluster  5
販売名<BR>[BrandName]<<BR>>成分<BR>[ActIngreName]<<BR>>含量<BR>[Number][Unit],76,37,4,5,Cluster  5
販売名<BR>[BrandName]<<BR>>成分<BR>[ActIngreName]<<BR>>含量（[Number][Unit]中）<BR>[Number][Unit],76,37,13,5,Cluster  5
販売名<BR>[BrandName]<<BR>>成分<BR>[ActIngreName]<<BR>>含量（[Number][Unit]中）<BR>[Number][Unit]（[ActIngreName]として[Number][Unit]）,76,37,2,5,Cluster  5
販売名<BR>[BrandName]<<BR>>成分分量<BR>（[Number][Unit][Number][Unit]中）[ActIngreName][Number][Number][Unit],34,36,1,5,Cluster  5
販売名<BR>[BrandName]<<BR>>成分分量<BR>（[Number][Unit][Number][Unit]中）[ActIngreName][Number][Unit],34,36,3,5,Cluster  5
販売名<BR>[BrandName]<<BR>>成分分量（[Number][Unit]中）<BR>[ActIngreName][Number][Unit],34,36,42,5,Cluster  5
販売名<BR>[BrandName]<<BR>>成分分量（[Number][Unit]中）<BR>[ActIngreName][Number][Unit]（[ActIngreName]として[Number][Unit]）,34,36,6,5,Cluster  5
販売名<BR>[BrandName]<<BR>>成分含有量（[Number][Unit]（[Number][Unit]）中）：有効成分<BR>[ActIngreName][Number][Unit],34,36,1,5,Cluster  5
販売名<BR>[BrandName]<<BR>>成分含有量（[Number][Unit]（[Number][Unit]）中）：有効成分<BR>[ActIngreName]：[Number][Unit],34,36,1,5,Cluster  5
販売名<BR>[BrandName]<<BR>>成分含有量：有効成分<BR>[Number][Unit]（[Number][Unit]）中：[ActIngreName][Number][Unit],34,36,2,5,Cluster  5
販売名<BR>[BrandName]<<BR>>成分含量<BR>[ActIngreName][Number][Unit],76,37,1,5,Cluster  5
販売名<BR>[BrandName]<<BR>>成分含量<BR>[ActIngreName][Number][Unit]（[Number][Unit][Number][Unit]中）,76,37,1,5,Cluster  5
販売名<BR>[BrandName]<<BR>>成分含量<BR>[ActIngreName][Number][Unit]（[Number][Unit]中）,76,37,8,5,Cluster  5
販売名<BR>[BrandName]<<BR>>成分含量<BR>[Number][Unit]中[ActIngreName][Number][Unit],76,37,6,5,Cluster  5
販売名<BR>[BrandName]<<BR>>成分含量<BR>[Number][Unit]中[ActIngreName][Number][Unit]（[ActIngreName]として[Number][Unit]）,76,37,1,5,Cluster  5
販売名<BR>[BrandName]<<BR>>成分含量[Number][Unit]（[Number][Unit]中）<BR>[ActIngreName][Number][Unit],76,37,3,5,Cluster  5
販売名<BR>[BrandName]<<BR>>成分含量[Number][Unit]（[Number][Unit]中）<BR>[ActIngreName]（[ActIngreName]として）[Number][Unit][ActIngreName][Number][Unit],76,37,1,5,Cluster  5
販売名<BR>[BrandName]<<BR>>成分含量（[Number][Unit][Number][Unit]中）<BR>[ActIngreName][Number][Unit],76,37,2,5,Cluster  5
販売名<BR>[BrandName]<<BR>>成分含量（[Number][Unit][Number][Unit]中）<BR>[ActIngreName]（[ActIngreName]として）[Number][Unit],76,37,1,5,Cluster  5
販売名<BR>[BrandName]<<BR>>成分含量（[Number][Unit]中）<BR>[ActIngreName][Number][Unit],76,37,34,5,Cluster  5
販売名<BR>[BrandName]<<BR>>成分含量（[Number][Unit]中）<BR>[ActIngreName][Number][Unit]<<BR>>[ActIngreName][Number][Unit],76,37,1,5,Cluster  5
販売名<BR>[BrandName]<<BR>>成分含量（[Number][Unit]中）<BR>[ActIngreName][Number][Unit][ActIngreName][Number][Unit],76,37,2,5,Cluster  5
販売名<BR>[BrandName]<<BR>>成分含量（[Number][Unit]中）<BR>[ActIngreName][Number][Unit][ActIngreName][Number][Unit][ActIngreName][Number][Unit],76,37,1,5,Cluster  5
販売名<BR>[BrandName]<<BR>>成分含量（[Number][Unit]中）<BR>[ActIngreName][Number][Unit][ActIngreName][Number][Unit]（[ActIngreName]として[Number][Unit]）,76,37,2,5,Cluster  5
販売名<BR>[BrandName]<<BR>>成分含量（[Number][Unit]中）<BR>[ActIngreName][Number][Unit]含有,76,37,5,5,Cluster  5
販売名<BR>[BrandName]<<BR>>成分含量（[Number][Unit]中）<BR>[ActIngreName][Number][Unit]含有（[ActIngreName]として[Number][Unit]含有）[ActIngreName][Number][Unit]含有,76,37,1,5,Cluster  5
販売名<BR>[BrandName]<<BR>>成分含量（[Number][Unit]中）<BR>[ActIngreName][Number][Unit]含有（[Number][Unit]）,76,37,1,5,Cluster  5
販売名<BR>[BrandName]<<BR>>成分含量（[Number][Unit]中）<BR>[ActIngreName][Number][Unit]（[ActIngreName]として[Number][Unit]）,76,37,2,5,Cluster  5
販売名<BR>[BrandName]<<BR>>成分含量（[Number][Unit]中）<BR>[ActIngreName]として[Number][Unit],76,37,2,5,Cluster  5
販売名<BR>[BrandName]<<BR>>成分含量（[Number][Unit]中）<BR>[ActIngreName]（[ActIngreName]として）[Number][Unit]<<BR>>溶解液組成（[Number][Unit]中）<BR>生理[ActIngreName]液[Number][Unit],76,37,1,5,Cluster  5
販売名<BR>[BrandName]<<BR>>成分含量（[Number][Unit]中）<BR>[ActIngreName]：[Number][Unit],76,37,1,5,Cluster  5
販売名<BR>[BrandName]<<BR>>成分（[Number][Unit]中）：有効成分含有量<BR>[ActIngreName][Number][Unit],34,36,16,5,Cluster  5
販売名<BR>[BrandName]<<BR>>成分（[Number][Unit]中）：有効成分含有量<BR>[ActIngreName][Number][Unit]（[Number][Unit]）,34,36,1,5,Cluster  5
販売名<BR>[BrandName]<<BR>>成分：有効成分含有量<BR>[Number][Unit]中[ActIngreName]（[ActIngreName]）[Number][Unit],34,36,2,5,Cluster  5
販売名<BR>[BrandName]<<BR>>成分：有効成分含有量<BR>[Number][Unit]中[ActIngreName]：[Number][Unit],34,36,3,5,Cluster  5
販売名<BR>[BrandName]<<BR>>有効成分<BR>[Number][Unit]中[ActIngreName][Number][Unit],34,36,2,5,Cluster  5
販売名<BR>[BrandName]<<BR>>有効成分<BR>[Number][Unit]中に[ActIngreName][Number][Unit]を含有する,34,36,2,5,Cluster  5
販売名<BR>[BrandName]<<BR>>有効成分<BR>[Number][Unit]中に[ActIngreName][Number][Unit]（[ActIngreName]として[Number][Unit]）を含有する,34,36,2,5,Cluster  5
販売名<BR>[BrandName]<<BR>>有効成分<BR>[Number][Unit]中に[ActIngreName]（別名：[ActIngreName]）[Number][Unit]を含有する,34,36,1,5,Cluster  5
販売名<BR>[BrandName]<<BR>>有効成分含有量（[Number][Unit]中）<BR>[ActIngreName][Number][Unit],34,36,2,5,Cluster  5
販売名<BR>[BrandName]<<BR>>有効成分（[Number][Unit]中含量）<BR>[ActIngreName]（[Number][Unit]）,76,37,5,5,Cluster  5
販売名<BR>[BrandName]<<BR>>有効成分（[Number][Unit]中）<BR>[ActIngreName][Form][Number][Unit],34,36,1,5,Cluster  5
販売名<BR>[BrandName]<<BR>>有効成分（[Number][Unit]中）<BR>[ActIngreName][Number][Unit],34,36,34,5,Cluster  5
販売名<BR>[BrandName]<<BR>>有効成分（[Number][Unit]中）<BR>[ActIngreName][Number][Unit][ActIngreName][Number][Unit],34,36,1,5,Cluster  5
販売名<BR>[BrandName]<<BR>>有効成分（[Number][Unit]中）<BR>[ActIngreName][Number][Unit]（[ActIngreName]として[Number][Unit]）,34,36,8,5,Cluster  5
販売名<BR>[BrandName]<<BR>>有効成分（[Number][Unit]中）<BR>[ActIngreName]…[Number][Unit],34,36,2,5,Cluster  5
販売名<BR>[BrandName]<<BR>>組成成分（[Number][Unit]中）<BR>[ActIngreName][Number][Unit],34,36,1,5,Cluster  5
販売名<BR>[BrandName]<<BR>>組成成分（[Number][Unit]中）<BR>[ActIngreName][Number][Unit]（[ActIngreName]として[Number][Unit]）,34,36,1,5,Cluster  5
販売名<BR>[BrandName]<<BR>>（[Number][Unit][Number][Unit]中）有効成分（[ActIngreName]）<BR>[Number][Unit],34,36,3,5,Cluster  5
販売名<BR>[BrandName]（[Number][Unit]中）<<BR>>成分分量<BR>[ActIngreName][Number][Unit],34,36,5,5,Cluster  5
販売名<BR>ハリケインリキッド歯科用[Number][Unit]<<BR>>成分<BR>[ActIngreName]<<BR>>含量（[Number][Unit]中）<BR>[Number][Unit],76,37,1,5,Cluster  5
販売名<BR>ポロセーブ[Form][Number][Unit]<<BR>>有効成分（[Number][Unit]中）<BR>[ActIngreName][Number][Unit],34,36,1,5,Cluster  5
販売名表示＝ＯＮ<BR>[BrandName]<<BR>>成分含量（[Number][Unit]中）<BR>[ActIngreName][Number][Unit],76,37,1,5,Cluster  5
販売名：<BR>[BrandName]<<BR>>成分：<BR>[ActIngreName]<<BR>>含量（[Number][Unit]中）：<BR>[Number][Unit],76,37,1,5,Cluster  5
販売名：<BR>[BrandName]<<BR>>有効成分：<BR>[Number][Unit]中[ActIngreName][Number][Unit]含有,34,36,1,5,Cluster  5
販売名：[BrandName]<<BR>>成分含量：本剤[Number][Unit]中[ActIngreName]を[Number][Unit]含有,76,37,1,5,Cluster  5
[BrandName]<BR>[Form]（用時溶解）[DrugParts]と溶解液（生理[ActIngreName]液）からなるバッグ製品である,75,46,2,11,Cluster  11
[BrandName]は[DrugParts]と[DrugParts]からなりそれぞれ次の成分分量を含有する<<BR>>[DrugParts]［[DrugParts]］成分<BR>[ActIngreName]<<BR>>[DrugParts]［[DrugParts]］含量<BR>[Number][Unit]<<BR>>[DrugParts]［[DrugParts]］<BR>生理[ActIngreName]液[Number][Unit]（[Number][Unit]中[ActIngreName][Number][Unit]含有）,96,49,2,11,Cluster  11
[BrandName]は[Form][DrugParts]（用時溶解）と溶解液からなり下記の成分を含有する<<BR>>バッグ中の成分含量：[Form][DrugParts]（用時溶解）<BR>[ActIngreName]：[Number][Unit]<<BR>>バッグ中の成分含量：[Form][DrugParts]（用時溶解）,84,48,1,11,Cluster  11
[BrandName]は[Form]（用時溶解）[DrugParts]と溶解液（生理[ActIngreName]液）からなる[Form]製品である<<BR>>[Form]有効成分（[Number][Unit]中）<BR>[ActIngreName][Number][Unit],75,46,2,11,Cluster  11
[BrandName]は[Form]（用時溶解）[DrugParts]と溶解液（生理[ActIngreName]液）からなるバッグ製品である<<BR>>[Form]有効成分（[Number][Unit]中）<BR>[ActIngreName][Number][Unit],75,46,2,11,Cluster  11
[BrandName]は[Form]（用時溶解）[DrugParts]と溶解液（生理[ActIngreName]液）からなるバッグ製品である<<BR>>[Form]有効成分（[Number][Unit]中）<BR>[ActIngreName][Number][Unit][ActIngreName][Number][Unit],75,46,1,11,Cluster  11
[BrandName]は[Number][Unit]中に[ActIngreName][Number][Unit]を含有する別に溶解液として[ActIngreName][Form]（[Number][Unit]）[Number][Unit]を添付している,84,48,2,11,Cluster  11
[BrandName]は[Number][Unit]中に[ActIngreName][Number][Unit]を含有する用時溶解して用いる[Form]である,84,48,2,11,Cluster  11
[BrandName]は[Number][Unit]中に[ActIngreName][Number][Unit]を含有する用時溶解して用いる[Form]（[Form]）で専用溶解液を添付している,84,48,1,11,Cluster  11
[BrandName]は[Number][Unit]中に[ActIngreName]（遺伝子組換え）[Number][Unit]を含有する本剤には溶解液として生理[ActIngreName]液[Number][Unit]を添付している,16,45,1,11,Cluster  11
[BrandName]は[Number][Unit]中に下記の成分分量を含有する用時溶解して用いる[Form]（[Form]）で専用溶解液を添付している<<BR>>成分分量<BR>[Number][Unit]中[ActIngreName][Number][Unit],84,48,1,11,Cluster  11
[BrandName]は[Number][Unit]中に次の成分を含有する用時溶解して用いる[Form]である<<BR>>有効成分<BR>[ActIngreName][Number][Unit],84,48,5,11,Cluster  11
[BrandName]は[Number][Unit]中に次の成分を含有する用時溶解して用いる[Form]である溶解液として[ActIngreName]を添付している<<BR>>有効成分：[ActIngreName]（遺伝子組換え）<BR>[Number][Unit],16,45,3,11,Cluster  11
[BrandName]は[Number][Unit]中に次の成分を含有する用時溶解して用いる[Form]である溶解液として[BrandName]には[ActIngreName][Number][Unit][Number][Unit]を添付している<<BR>>有効成分<BR>[ActIngreName]（遺伝子組換え）[Number][Unit],16,45,1,11,Cluster  11
[BrandName]は[Number][Unit]中に次の成分を含有する用時溶解して用いる[Form]である溶解液として[BrandName]には生理[ActIngreName]液[Number][Unit][Number][Unit]を添付している<<BR>>有効成分<BR>[ActIngreName]（遺伝子組換え）[Number][Unit],16,45,3,11,Cluster  11
[BrandName]は用時溶解用の[Form]と溶解液からなり下記の有効成分を含有する<<BR>>[Form]（[Number][Unit]中）<BR>[ActIngreName][Number][Unit]<<BR>>溶解液（[Number][Unit]中）<BR>生理[ActIngreName]液[Number][Unit],84,48,2,11,Cluster  11
[BrandName]：[Number][Unit]中[ActIngreName]（[ActIngreShortName]）[Number][Unit]に相当する[ActIngreName]を含有<<BR>>溶解液：注射用蒸留水[Number][Unit]（[Number][Unit]）,84,48,1,11,Cluster  11
[BrandName]：[Number][Unit]中に[ActIngreName][Number][Unit]を含有する用時溶解して用いる[Form]である,84,48,4,11,Cluster  11
[Form][CaseName]有効成分<BR>[ActIngreName][Number][Unit]<<BR>>添付懸濁用液（容量）<BR>（[Number][Unit]）,100,47,1,11,Cluster  11
[Number][Unit]中に下記成分含量を含有する[Form]で用時溶解して用いる[Form]である<<BR>>成分含量<BR>[ActIngreName][Number][Unit]（[ActIngreName]として[Number][Unit]）,84,48,2,11,Cluster  11
[Number][Unit]中に次の成分を含有<<BR>>有効成分<BR>[ActIngreName][Number][Unit][BrandName]は[Form][DrugParts]（用時溶解）と溶解液からなり[DrugParts]に[Form][DrugParts][DrugParts]に溶解液として生理[ActIngreName]液[Number][Unit]を含有,75,46,1,11,Cluster  11
[Number][Unit]中の有効成分<BR>[ActIngreName][Number][Unit]<<BR>>溶解液（[Number][Unit]中）<BR>[Number][Unit][ActIngreName][Form][Number][Unit],100,47,1,11,Cluster  11
[Number][Unit]中の有効成分<BR>[ActIngreName][Number][Unit]<<BR>>溶解液（[Number][Unit]中）<BR>生理[ActIngreName]液[Number][Unit],100,47,1,11,Cluster  11
[Number][Unit]中の有効成分（用時溶解）<BR>[ActIngreName][Number][Unit]<<BR>>溶解液<BR>[Number][Unit][ActIngreName][Form][Number][Unit],100,47,1,11,Cluster  11
[Number][Unit]中の有効成分（用時溶解）<BR>[ActIngreName][Number][Unit]<<BR>>溶解液<BR>生理[ActIngreName]液[Number][Unit],100,47,1,11,Cluster  11
[Number][Unit]中：[DrugParts]：有効成分<BR>[ActIngreName][Number][Unit][ActIngreName][Number][Unit]<<BR>>[DrugParts]：溶解液<BR>生理[ActIngreName]液[Number][Unit]<<BR>>[Number]つの[CaseName]に隔壁を設けて[DrugParts]に[Form]抗生物質[DrugParts]に溶解液（生理[ActIngreName]液）を充填した[Form],100,47,3,11,Cluster  11
剤形<BR>[Form]<<BR>>有効成分<BR>[Number][Unit]中[ActIngreName]…[Number][Unit]<<BR>>溶解液<BR>[Number][Unit]（[Number][Unit]）中：[ActIngreName][Number][Unit]（生理[ActIngreName]液）,100,47,1,11,Cluster  11
剤形<BR>バック（[DrugParts]）[ActIngreName]（[Form]）バック（[DrugParts]）生理[ActIngreName]液（溶解液）<<BR>>有効成分<BR>[ActIngreName]<<BR>>含有量（[Number][Unit]中）<BR>バック（[DrugParts]）[Number][Unit]バック（[DrugParts]）生理[ActIngreName]液[Number][Unit],96,49,1,11,Cluster  11
成分<BR>[ActIngreName]<<BR>>含量<BR>[Number][Unit]中[Number][Unit]<<BR>>溶解液の成分<BR>[ActIngreName][Form]（[Number][Unit]）<<BR>>溶解液の含量<BR>[Number][Unit]中[Number][Unit]<<BR>>Ｎａ含有量<BR>[ActIngreName][Number][Unit]中Ｎａ[Number][Unit]（[Number][Unit]）を含有する,96,49,1,11,Cluster  11
成分（[BrandName]）<BR>[ActIngreName]<<BR>>成分（溶解液）<BR>[ActIngreName][Form]（[Number][Unit]）<<BR>>含量（[BrandName]）<BR>[Number][Unit]中[Number][Unit]<<BR>>含量（溶解液）<BR>[Number][Unit]中[Number][Unit]<<BR>>Ｎａ含有量<BR>[ActIngreName][Number][Unit]中Ｎａ[Number][Unit]（[Number][Unit]）を含有する,96,49,1,11,Cluster  11
有効成分の名称（[DrugParts]）<BR>[ActIngreName]／[ActIngreName]<<BR>>含量（[DrugParts]）<BR>[Number][Unit]／[Number][Unit][ActIngreName]（[ActIngreName]として）／[ActIngreName]（[ActIngreName]として）<<BR>>含量（[DrugParts]）<BR>生理[ActIngreName]液[Number][Unit]（[Number][Unit]中[ActIngreName][Number][Unit]含有）,96,49,1,11,Cluster  11
有効成分（[DrugParts]）<BR>[Number][Unit]中：[ActIngreName][Number][Unit]<<BR>>有効成分（[DrugParts]）<BR>[Number][Unit]中：生理[ActIngreName]液[Number][Unit]（[Number][Unit]中[ActIngreName][Number][Unit]含有）,96,49,1,11,Cluster  11
有効成分：[ActIngreName]（遺伝子組換え）<BR>[Number][Unit]中の含有量[Number][Unit]ただし本剤の調製方法に基づき[ActIngreName][Number][Unit]に溶解した[Form][Number][Unit]中に含まれる量は[Number][Unit]である,16,45,1,11,Cluster  11
本剤は[Form]（用時溶解）[DrugParts]と溶解液（生理[ActIngreName]液）からなる<<BR>>[Form]有効成分（[Number][Unit]中）<BR>[ActIngreName][Number][Unit][ActIngreName][Number][Unit]（[ActIngreName]として[Number][Unit]）,75,46,1,11,Cluster  11
本剤は[Form]（用時溶解）[DrugParts]と溶解液（生理[ActIngreName]液）からなるバッグ製品である<<BR>>[Form]有効成分（[Number][Unit]中）<BR>[ActIngreName][Number][Unit],75,46,4,11,Cluster  11
本剤は[Number][Unit]中に次の成分を含有する[Color]の凍結乾燥物で用時溶解して用いる[Form]である本剤を生理[ActIngreName]液で溶解したときのｐＨ及び浸透圧比は以下のとおりである<<BR>>有効成分<BR>[ActIngreName]（遺伝子組換え）[Number][Unit]（ＩＵ：国際単位）,16,45,3,11,Cluster  11
本剤は[Number]つの[CaseName]に隔壁を設けて[DrugParts]に抗生物質[DrugParts]に溶解液を充填した[Form]で次の成分を含有する[DrugParts]：[ActIngreName][Number][Unit][DrugParts]：生理[ActIngreName]液[Number][Unit]（[Number][Unit]中に[ActIngreName][Number][Unit]含有）,96,49,1,11,Cluster  11
