Pattern,ClusterNumber1,,Count,Cluster_number.Record.,paste..Cluster....Cluster_number.Record..
本剤は[Number][Unit]中に次の成分及び分量を含有する凍結乾燥製品であるなお<<BR>>有効成分<BR>生きた[ActIngreName]（[Fomula]）（含[Form]量[Number][Unit]の湿菌として）[Number][Unit]<<BR>>本剤は製造工程でウシの胆嚢から採取した胆汁を使用している,17,10,2,4,Cluster  4
本剤はイオン交換樹脂処理[ActIngreName]を含む[Form]で[Number][Unit]中に下記の成分を含有する<<BR>>有効成分<BR>[ActIngreName][Number][Unit]採血国：米国採血の区別：非献血注[Number]）<<BR>>注[Number]）「献血又は非献血の区別の考え方」の項を参照,11,14,1,4,Cluster  4
本剤はヒトの[ActIngreName]を含む[Form]で[Number][Unit]中に下記の成分を含有する<<BR>>有効成分<BR>[ActIngreName]：[Number][Unit]<<BR>>本剤の主成分であるヒトの[ActIngreName]は日本において採取された献血血[Form]を原料としているまた製造工程中においてブタ腸粘膜由来のヘパリンを使用している,25,13,2,4,Cluster  4
本剤はヒトの[ActIngreName]中の「[ActIngreName]」を含む[Form]で[Number][Unit]中に下記の成分を含有する<<BR>>有効成分<BR>[ActIngreName][Number][Unit]（[Number][Unit]相当量）<<BR>>本剤の主成分である「[ActIngreName]」を含むヒトの[ActIngreName]は米国において採取された非献血血[Form]を原料としている,11,14,1,4,Cluster  4
本剤はヒトの[ActIngreName]中の「[ActIngreName]」を含む[Form]で[Number][Unit]中に下記の成分を含有する<<BR>>有効成分<BR>[ActIngreName]：[Number][Unit]<<BR>>本剤の主成分である「[ActIngreName]」を含むヒトの[ActIngreName]は米国において採取された非献血血[Form]を原料としている,11,14,3,4,Cluster  4
本剤はヒトの[ActIngreName]中の「[ActIngreName]」を含む乾燥製剤で[Number][Unit]中に下記の成分を含有する<<BR>>有効成分<BR>[ActIngreName][Number][Unit]<<BR>>本剤の主成分である「[ActIngreName]」を含むヒトの[ActIngreName]は米国において採取された非献血血[Form]を原料としている,11,14,1,4,Cluster  4
本剤はヒトの[ActIngreName]中の「[ActIngreName]」を含む乾燥製剤で[Number][Unit]製剤と[Number][Unit]製剤の[Number]種類があり[Number][Unit]中に各々下記の成分を含有する<<BR>>規格<BR>[Number][Unit]製剤<<BR>>有効成分<BR>[ActIngreName]：[Number][Unit]<<BR>>規格<BR>[Number][Unit]製剤<<BR>>有効成分<BR>[ActIngreName]：[Number][Unit]<<BR>>本剤の主成分である「[ActIngreName]」を含むヒトの[ActIngreName]は米国において採取された非献血血[Form]を原料としている,11,14,2,4,Cluster  4
本剤はヒトのポリエチレングリコール処理[ActIngreName]を含む[Form]で[Number][Unit]中に下記の成分を含有する<<BR>>有効成分<BR>[ActIngreName]：[Number][Unit]<<BR>>本剤の主成分である[ActIngreName]は日本において採取された献血血[Form]を原料としているまた製造工程中においてブタ腸粘膜由来のヘパリンを使用している,25,13,3,4,Cluster  4
本剤はヒトの血[Form]を原料として製剤化された[ActIngreName]製剤で[Number][Unit]（[Number][Unit]）中に下記の成分を含有する[Form]である<<BR>>有効成分<BR>[ActIngreName]：[Number][Unit]備考[ActIngreName]採血国：日本採血の区分：献血<<BR>>本剤は製造工程でブタの腸粘膜由来成分（ヘパリン）を使用している,25,13,2,4,Cluster  4
本剤は下記成分を含む[Form]で<<BR>>有効成分（[Number][Unit]中の含量）<BR>[ActIngreName]アルファ（ＢＡＬＬ－[Number]）[Number][Unit]（備考：ヒトリンパ芽球細胞由来）<<BR>>本剤は製造工程でウシ胎仔血清ウサギ抗血清ふ化鶏卵で増殖させたセンダイウイルスマウス[ActIngreName]ブリドーマ由来のモノクローナル抗体を使用しているなおセンダイウイルスの調製に使用するポリペプトンの製造にはウシ乳由来カゼイン及びブタ由来酵素を使用しているまたヒトリンパ芽球細胞はハムスターの皮下で増殖させている,13,9,3,4,Cluster  4
本剤は人血漿中の[ActIngreName]を含む[Form]で[Number][Unit]中に下記の成分を含有する<<BR>>有効成分<BR>[ActIngreName]：[Number][Unit]<<BR>>本剤の主成分である[ActIngreName]は日本において採取された献血血[Form]を原料としているまた,11,14,2,4,Cluster  4
本剤は人血漿中の[ActIngreName]を含む[Form]で[Number][Unit]中に下記の成分を含有する<<BR>>有効成分<BR>[ActIngreName]：[Number][Unit]<<BR>>本剤の主成分である[ActIngreName]は日本において採取された献血血[Form]を原料としているまた製造工程中においてブタ腸粘膜由来のヘパリンを使用している[ActIngreName]含量及び塩素含量は[CaseName]ラベル及び個装箱に表示してあります,25,13,2,4,Cluster  4
本剤は人血漿中の[ActIngreName]を含む[Form]で[Number][Unit]（[Number][Unit]）中に下記の成分を含有する<<BR>>規格<BR>[Number][Unit]<<BR>>有効成分<BR>[ActIngreName]：[Number][Unit]<<BR>>本剤の主成分である[ActIngreName]は日本において採取された献血血[Form]を原料としているまた製造工程中においてブタ腸粘膜由来のヘパリンを使用している[ActIngreName]含量及び塩素含量は[CaseName]ラベル及び個装箱に表示してあります,25,13,2,4,Cluster  4
本剤は人血漿中の[ActIngreName]を含む[Form]で[Number][Unit]（[Number][Unit]）中に下記の成分を含有する<<BR>>規格<BR>[Number][Unit]中<<BR>>有効成分<BR>[ActIngreName]：[Number][Unit]<<BR>>本剤の主成分である[ActIngreName]は日本において採取された献血血[Form]を原料としているまた製造工程中においてブタ腸粘膜由来のヘパリンを使用している[ActIngreName]含量及び塩素含量は[CaseName]ラベル及び個装箱に表示してあります,25,13,2,4,Cluster  4
本剤は人血漿中の[ActIngreName]を含む乾燥製剤で[Number][Unit]製剤と[Number][Unit]製剤の[Number]種類があり各々下記の成分を含有する<BR>[Number][Unit]製剤<<BR>>規格<BR>[ActIngreName]：[Number][Unit]<<BR>>有効成分<BR>[ActIngreName]：[Number][Unit][ActIngreName]：[Number][Unit][ActIngreName]：[Number][Unit]<<BR>>規格<BR>[ActIngreName]：[Number][Unit]<<BR>>有効成分<BR>[ActIngreName]：[Number][Unit][ActIngreName]：[Number][Unit][ActIngreName]：[Number][Unit],20,11,1,4,Cluster  4
本剤を添付の溶剤で溶解するとき[Number][Unit]中の組成は下記のとおりである<<BR>>有効成分<BR>[ActIngreName]分屑：[Number][Unit]<<BR>>本剤の有効成分である[ActIngreName]分屑はヒトの血[Form]（採血国：日本採血方法：献血）を原材料としているまた本剤は製造工程でブタの腸粘膜由来成分（ヘパリン）及びブタの胃粘膜由来成分（ペプシン）を使用している,25,13,1,4,Cluster  4
本剤を添付の溶剤（[ActIngreName]）で溶解したとき[Number][Unit]中の組成は下記のとおりである<<BR>>有効成分<BR>[ActIngreName]：[Number][Unit]<<BR>>本剤の有効成分である[ActIngreName],6,12,4,4,Cluster  4
本剤を添付の溶剤（[ActIngreName]）で溶解したとき[Number][Unit]中の組成は下記のとおりである<<BR>>有効成分<BR>[ActIngreName]：[Number][Unit]国際単位に準拠している<<BR>>本剤の有効成分である[ActIngreName],6,12,3,4,Cluster  4
本剤を添付の溶剤（[ActIngreName]）で溶解したとき[Number][Unit]中の組成は下記のとおりである<<BR>>有効成分<BR>血[Form]凝固第ＶＩＩＩ因子血[Form]凝固第ＶＩＩＩ因子（[ActIngreName]）として：[Number][Unit][ActIngreName]（[ActIngreName]）として：[Number][Unit]<<BR>>本剤の有効成分である血[Form]凝固第ＶＩＩＩ因子,6,12,3,4,Cluster  4
本剤を添付の溶剤（[ActIngreName]）で溶解するとき[Number][Unit]中の組成は下記のとおりである<<BR>>有効成分<BR>[ActIngreName]（[ActIngreName]）：[Number][Unit]<<BR>>本剤の有効成分である[ActIngreName]はヒトの血[Form]（採血国：米国採血方法：非献血）を原材料としている,6,12,1,4,Cluster  4
本製品は[CaseName]<<BR>>成分含量（[Number][Unit]中）（[Unit]）<BR>[ActIngreName]（遺伝子組換え）[Number],20,11,3,4,Cluster  4
製法の概要<BR>本剤は組換えＤＮＡ技術を応用して酵母により産生された[ActIngreName]を含む[Form]に[ActIngreName]塩を加えて[ActIngreName]を不溶性とした[Form]である<<BR>>組成<BR>本剤は[Number][Unit]（[Number][Unit]）中に次の成分を含有する<<BR>>有効成分<BR>[ActIngreName]（[ActIngreName]）：[Number][Unit],20,11,2,4,Cluster  4
製法の概要<BR>本剤は遺伝子組換え技術を応用して酵母（Ｓａｃｃｈａｒｏｍｙｃｅｓｃｅｒｅｖｉｓｉａｅ）により産生させた[ActIngreName]（[ActIngreName]）を回収精製した後[ActIngreName]に吸着させて沈降ワクチンとしたものである<<BR>>有効成分の名称<BR>[ActIngreName]（酵母由来）<<BR>>容量<BR>[Number][Unit]<<BR>>含量<BR>[Number][Unit]（[ActIngreName]（酵母由来）として）,20,11,1,4,Cluster  4
規格<BR>[Number][Unit]<<BR>>有効成分<BR>[ActIngreName]：[Number][Unit]<<BR>>規格<BR>[Number][Unit]<<BR>>有効成分<BR>[ActIngreName]：[Number][Unit],20,11,1,4,Cluster  4
[BrandName]は[Number][Unit][Number][Unit]中[Number][Unit]の[ActIngreName]を含有する[Form]である<<BR>>単位容量<BR>[Number][Unit]（[Number][Unit]）,5,20,1,2,Cluster  2
[Number][Unit]中[ActIngreName][Number][Unit]含有,5,20,1,2,Cluster  2
[Number][Unit]中[BrandName][Number][Unit]含有,5,20,1,2,Cluster  2
[Number]）本剤は[Number][Unit][Number][Unit]中下記の混合生薬より抽出した[Kampo][Form][Number][Unit]を含有する[ActIngreName][Number][Unit][ActIngreName][Number][Unit][ActIngreName][Number][Unit][ActIngreName][Number][Unit][ActIngreName][Number][Unit]<<BR>><BR>[Number]）本剤は[Color]の[Form]でわずかに[Taste]があり特異の[Smell]を有す,15,17,1,2,Cluster  2
[Number]）本剤は[Number][Unit][Number][Unit]中下記の混合生薬より抽出した[Kampo][Form][Number][Unit]を含有する[ActIngreName][Number][Unit][ActIngreName][Number][Unit][ActIngreName][Number][Unit][ActIngreName][Number][Unit][ActIngreName][Number][Unit][ActIngreName][Number][Unit]<<BR>><BR>[Number]）本剤は[Color]の[Form]でわずかに[Taste]と[Taste]があり特異の[Smell]を有す,15,17,1,2,Cluster  2
含量<BR>本剤は[Number][Unit][Number][Unit]中下記の混合生薬より抽出した[Kampo][Form][Number][Unit]を含有する[ActIngreName][Number][Unit][ActIngreName][Number][Unit][ActIngreName][Number][Unit][ActIngreName][Number][Unit][ActIngreName][Number][Unit],15,17,1,2,Cluster  2
含量：<BR>本剤[Number][Unit]中[ActIngreName][Number][Unit][ActIngreName][Number][Unit][ActIngreName][Number][Unit][ActIngreName][Number][Unit][ActIngreName][Number][Unit][ActIngreName][Number][Unit][ActIngreName][Number][Unit][ActIngreName][Number][Unit][ActIngreName][Number][Unit][ActIngreName][Number][Unit][ActIngreName][Number][Unit][ActIngreName][Number][Unit][ActIngreName][Number][Unit]上記の混合生薬より抽出した[Kampo][Form][Number][Unit]を含有する,8,16,1,2,Cluster  2
含量：<BR>本剤[Number][Unit]中[ActIngreName][Number][Unit][ActIngreName][Number][Unit][ActIngreName][Number][Unit][ActIngreName][Number][Unit][ActIngreName][Number][Unit][ActIngreName][Number][Unit][ActIngreName][Number][Unit][ActIngreName][Number][Unit][ActIngreName][Number][Unit][ActIngreName][Number][Unit][ActIngreName][Number][Unit]上記の混合生薬より抽出した[Kampo][Form][Number][Unit]を含有する,8,16,1,2,Cluster  2
含量：<BR>本剤[Number][Unit]中[ActIngreName][Number][Unit][ActIngreName][Number][Unit][ActIngreName][Number][Unit][ActIngreName][Number][Unit][ActIngreName][Number][Unit][ActIngreName][Number][Unit][ActIngreName][Number][Unit][ActIngreName][Number][Unit][ActIngreName][Number][Unit][ActIngreName][Number][Unit]上記の混合生薬より抽出した[Kampo][Form][Number][Unit]を含有する,8,16,3,2,Cluster  2
含量：<BR>本剤[Number][Unit]中[ActIngreName][Number][Unit][ActIngreName][Number][Unit][ActIngreName][Number][Unit][ActIngreName][Number][Unit][ActIngreName][Number][Unit][ActIngreName][Number][Unit][ActIngreName][Number][Unit][ActIngreName][Number][Unit][ActIngreName][Number][Unit]上記の混合生薬より抽出した[Kampo][Form][Number][Unit]を含有する,8,16,2,2,Cluster  2
含量：<BR>本剤[Number][Unit]中[ActIngreName][Number][Unit][ActIngreName][Number][Unit][ActIngreName][Number][Unit][ActIngreName][Number][Unit][ActIngreName][Number][Unit][ActIngreName][Number][Unit][ActIngreName][Number][Unit][ActIngreName][Number][Unit]上記の混合生薬より抽出した[Kampo][Form][Number][Unit]を含有する,8,16,4,2,Cluster  2
含量：<BR>本剤[Number][Unit]中[ActIngreName][Number][Unit][ActIngreName][Number][Unit][ActIngreName][Number][Unit][ActIngreName][Number][Unit][ActIngreName][Number][Unit][ActIngreName][Number][Unit][ActIngreName][Number][Unit]上記の混合生薬より抽出した[Kampo][Form][Number][Unit]を含有する,8,16,5,2,Cluster  2
含量：<BR>本剤[Number][Unit]中[ActIngreName][Number][Unit][ActIngreName][Number][Unit][ActIngreName][Number][Unit][ActIngreName][Number][Unit][ActIngreName][Number][Unit][ActIngreName][Number][Unit]上記の混合生薬より抽出した[Kampo][Form][Number][Unit]を含有する,8,16,2,2,Cluster  2
含量：<BR>本剤[Number][Unit]中[ActIngreName][Number][Unit][ActIngreName][Number][Unit][ActIngreName][Number][Unit][ActIngreName][Number][Unit][ActIngreName][Number][Unit]上記の混合生薬より抽出した[Kampo][Form][Number][Unit]を含有する,8,16,3,2,Cluster  2
含量：<BR>本剤[Number][Unit]中[ActIngreName][Number][Unit][ActIngreName][Number][Unit][ActIngreName][Number][Unit][ActIngreName][Number][Unit]上記の混合生薬より抽出した[Kampo][Form][Number][Unit]を含有する,8,16,3,2,Cluster  2
含量：<BR>本剤[Number][Unit]中[ActIngreName][Number][Unit][ActIngreName][Number][Unit][ActIngreName][Number][Unit]上記の混合生薬より抽出した[Kampo][Form][Number][Unit]を含有する,8,16,1,2,Cluster  2
含量：<BR>本剤は[Number][Unit][Number][Unit]中下記の混合生薬より抽出した[Kampo][Form][Number][Unit]を含有する[ActIngreName][Number][Unit][ActIngreName][Number][Unit][ActIngreName][Number][Unit][ActIngreName][Number][Unit][ActIngreName][Number][Unit][ActIngreName][Number][Unit],15,17,1,2,Cluster  2
本剤[Number][Unit]中[ActIngreName][Number][Unit][ActIngreName][Number][Unit][ActIngreName][Number][Unit][ActIngreName][Number][Unit][ActIngreName][Number][Unit][ActIngreName][Number][Unit][ActIngreName][Number][Unit][ActIngreName][Number][Unit][ActIngreName][Number][Unit][ActIngreName][Number][Unit][ActIngreName][Number][Unit][ActIngreName][Number][Unit][ActIngreName][Number][Unit][ActIngreName][Number][Unit][ActIngreName][Number][Unit][ActIngreName][Number][Unit][ActIngreName][Number][Unit][ActIngreName][Number][Unit]上記の混合生薬より抽出した[Kampo][Form][Number][Unit]を含有する,8,16,1,2,Cluster  2
本剤[Number][Unit]中[ActIngreName][Number][Unit][ActIngreName][Number][Unit][ActIngreName][Number][Unit][ActIngreName][Number][Unit][ActIngreName][Number][Unit][ActIngreName][Number][Unit][ActIngreName][Number][Unit][ActIngreName][Number][Unit][ActIngreName][Number][Unit][ActIngreName][Number][Unit][ActIngreName][Number][Unit][ActIngreName][Number][Unit][ActIngreName][Number][Unit][ActIngreName][Number][Unit][ActIngreName][Number][Unit][ActIngreName][Number][Unit][ActIngreName][Number][Unit][ActIngreName][Number][Unit]上記の混合生薬より抽出した[Kampo]の[Form][Number][Unit]を含有する,8,16,2,2,Cluster  2
本剤[Number][Unit]中[ActIngreName][Number][Unit][ActIngreName][Number][Unit][ActIngreName][Number][Unit][ActIngreName][Number][Unit][ActIngreName][Number][Unit][ActIngreName][Number][Unit][ActIngreName][Number][Unit][ActIngreName][Number][Unit][ActIngreName][Number][Unit][ActIngreName][Number][Unit][ActIngreName][Number][Unit][ActIngreName][Number][Unit][ActIngreName][Number][Unit][ActIngreName][Number][Unit][ActIngreName][Number][Unit][ActIngreName][Number][Unit]上記の混合生薬より抽出した[Kampo]の[Form][Number][Unit]を含有する,8,16,1,2,Cluster  2
本剤[Number][Unit]中[ActIngreName][Number][Unit][ActIngreName][Number][Unit][ActIngreName][Number][Unit][ActIngreName][Number][Unit][ActIngreName][Number][Unit][ActIngreName][Number][Unit][ActIngreName][Number][Unit][ActIngreName][Number][Unit][ActIngreName][Number][Unit][ActIngreName][Number][Unit][ActIngreName][Number][Unit][ActIngreName][Number][Unit][ActIngreName][Number][Unit][ActIngreName][Number][Unit][ActIngreName][Number][Unit]上記の混合生薬より抽出した[Kampo]の[Form][Number][Unit]を含有する,8,16,1,2,Cluster  2
本剤[Number][Unit]中[ActIngreName][Number][Unit][ActIngreName][Number][Unit][ActIngreName][Number][Unit][ActIngreName][Number][Unit][ActIngreName][Number][Unit][ActIngreName][Number][Unit][ActIngreName][Number][Unit][ActIngreName][Number][Unit][ActIngreName][Number][Unit][ActIngreName][Number][Unit][ActIngreName][Number][Unit][ActIngreName][Number][Unit][ActIngreName][Number][Unit][ActIngreName][Number][Unit]上記の混合生薬より抽出した[Kampo]の[Form][Number][Unit]を含有する,8,16,1,2,Cluster  2
本剤[Number][Unit]中[ActIngreName][Number][Unit][ActIngreName][Number][Unit][ActIngreName][Number][Unit][ActIngreName][Number][Unit][ActIngreName][Number][Unit][ActIngreName][Number][Unit][ActIngreName][Number][Unit][ActIngreName][Number][Unit][ActIngreName][Number][Unit][ActIngreName][Number][Unit][ActIngreName][Number][Unit][ActIngreName][Number][Unit][ActIngreName][Number][Unit]上記の混合生薬より抽出した[Kampo]の[Form][Number][Unit]を含有する,8,16,1,2,Cluster  2
本剤[Number][Unit]中[ActIngreName][Number][Unit][ActIngreName][Number][Unit][ActIngreName][Number][Unit][ActIngreName][Number][Unit][ActIngreName][Number][Unit][ActIngreName][Number][Unit][ActIngreName][Number][Unit][ActIngreName][Number][Unit][ActIngreName][Number][Unit][ActIngreName][Number][Unit][ActIngreName][Number][Unit][ActIngreName][Number][Unit]上記の混合生薬より抽出した[Kampo]の[Form][Number][Unit]を含有する,8,16,1,2,Cluster  2
本剤[Number][Unit]中[ActIngreName][Number][Unit][ActIngreName][Number][Unit][ActIngreName][Number][Unit][ActIngreName][Number][Unit][ActIngreName][Number][Unit][ActIngreName][Number][Unit][ActIngreName][Number][Unit][ActIngreName][Number][Unit][ActIngreName][Number][Unit][ActIngreName][Number][Unit][ActIngreName][Number][Unit]上記の混合生薬より抽出した[Kampo]の[Form][Number][Unit]と[ActIngreName][Number][Unit]を含有する,8,16,1,2,Cluster  2
本剤[Number][Unit]中[ActIngreName][Number][Unit][ActIngreName][Number][Unit][ActIngreName][Number][Unit][ActIngreName][Number][Unit][ActIngreName][Number][Unit][ActIngreName][Number][Unit][ActIngreName][Number][Unit][ActIngreName][Number][Unit][ActIngreName][Number][Unit][ActIngreName][Number][Unit][ActIngreName][Number][Unit]上記の混合生薬より抽出した[Kampo]の[Form][Number][Unit]を含有する,8,16,2,2,Cluster  2
本剤[Number][Unit]中[ActIngreName][Number][Unit][ActIngreName][Number][Unit][ActIngreName][Number][Unit][ActIngreName][Number][Unit][ActIngreName][Number][Unit][ActIngreName][Number][Unit][ActIngreName][Number][Unit][ActIngreName][Number][Unit][ActIngreName][Number][Unit][ActIngreName][Number][Unit]上記の混合生薬より抽出した[Kampo][Form][Number][Unit]を含有する,8,16,3,2,Cluster  2
本剤[Number][Unit]中[ActIngreName][Number][Unit][ActIngreName][Number][Unit][ActIngreName][Number][Unit][ActIngreName][Number][Unit][ActIngreName][Number][Unit][ActIngreName][Number][Unit][ActIngreName][Number][Unit][ActIngreName][Number][Unit][ActIngreName][Number][Unit][ActIngreName][Number][Unit]上記の混合生薬より抽出した[Kampo]の[Form][Number][Unit]を含有する,8,16,3,2,Cluster  2
本剤[Number][Unit]中[ActIngreName][Number][Unit][ActIngreName][Number][Unit][ActIngreName][Number][Unit][ActIngreName][Number][Unit][ActIngreName][Number][Unit][ActIngreName][Number][Unit][ActIngreName][Number][Unit][ActIngreName][Number][Unit][ActIngreName][Number][Unit]上記の混合生薬より抽出した[Kampo]の[Form][Number][Unit]を含有する,8,16,6,2,Cluster  2
本剤[Number][Unit]中[ActIngreName][Number][Unit][ActIngreName][Number][Unit][ActIngreName][Number][Unit][ActIngreName][Number][Unit][ActIngreName][Number][Unit][ActIngreName][Number][Unit][ActIngreName][Number][Unit][ActIngreName][Number][Unit]上記の混合生薬より抽出した[Kampo]の[Form][Number][Unit]と[ActIngreName][Number][Unit]を含有する,8,16,1,2,Cluster  2
本剤[Number][Unit]中[ActIngreName][Number][Unit][ActIngreName][Number][Unit][ActIngreName][Number][Unit][ActIngreName][Number][Unit][ActIngreName][Number][Unit][ActIngreName][Number][Unit][ActIngreName][Number][Unit][ActIngreName][Number][Unit]上記の混合生薬より抽出した[Kampo]の[Form][Number][Unit]を含有する,8,16,4,2,Cluster  2
本剤[Number][Unit]中[ActIngreName][Number][Unit][ActIngreName][Number][Unit][ActIngreName][Number][Unit][ActIngreName][Number][Unit][ActIngreName][Number][Unit][ActIngreName][Number][Unit][ActIngreName][Number][Unit][ActIngreName]（[ActIngreName]）[Number][Unit]上記の混合生薬より抽出した[Kampo][Form][Number][Unit]を含有する,8,16,1,2,Cluster  2
本剤[Number][Unit]中[ActIngreName][Number][Unit][ActIngreName][Number][Unit][ActIngreName][Number][Unit][ActIngreName][Number][Unit][ActIngreName][Number][Unit][ActIngreName][Number][Unit][ActIngreName][Number][Unit]上記の混合生薬より抽出した[Kampo][Form][Number][Unit]を含有する,8,16,1,2,Cluster  2
本剤[Number][Unit]中[ActIngreName][Number][Unit][ActIngreName][Number][Unit][ActIngreName][Number][Unit][ActIngreName][Number][Unit][ActIngreName][Number][Unit][ActIngreName][Number][Unit][ActIngreName][Number][Unit]上記の混合生薬より抽出した[Kampo]の[Form][Number][Unit]を含有する,8,16,10,2,Cluster  2
本剤[Number][Unit]中[ActIngreName][Number][Unit][ActIngreName][Number][Unit][ActIngreName][Number][Unit][ActIngreName][Number][Unit][ActIngreName][Number][Unit][ActIngreName][Number][Unit][ActIngreName]（[ActIngreName]）[Number][Unit]上記の混合生薬より抽出した[Kampo]の[Form][Number][Unit]を含有する,8,16,1,2,Cluster  2
本剤[Number][Unit]中[ActIngreName][Number][Unit][ActIngreName][Number][Unit][ActIngreName][Number][Unit][ActIngreName][Number][Unit][ActIngreName][Number][Unit][ActIngreName][Number][Unit]上記の混合生薬より抽出した[Kampo][Form][Number][Unit]を含有する,8,16,1,2,Cluster  2
本剤[Number][Unit]中[ActIngreName][Number][Unit][ActIngreName][Number][Unit][ActIngreName][Number][Unit][ActIngreName][Number][Unit][ActIngreName][Number][Unit][ActIngreName][Number][Unit]上記の混合生薬より抽出した[Kampo]の[Form][Number][Unit]と[ActIngreName][Number][Unit]を含有する,8,16,1,2,Cluster  2
本剤[Number][Unit]中[ActIngreName][Number][Unit][ActIngreName][Number][Unit][ActIngreName][Number][Unit][ActIngreName][Number][Unit][ActIngreName][Number][Unit][ActIngreName][Number][Unit]上記の混合生薬より抽出した[Kampo]の[Form][Number][Unit]を含有する,8,16,9,2,Cluster  2
本剤[Number][Unit]中[ActIngreName][Number][Unit][ActIngreName][Number][Unit][ActIngreName][Number][Unit][ActIngreName][Number][Unit][ActIngreName][Number][Unit]上記の混合生薬より抽出した[Kampo][Form][Form][Number][Unit]を含有する,8,16,1,2,Cluster  2
本剤[Number][Unit]中[ActIngreName][Number][Unit][ActIngreName][Number][Unit][ActIngreName][Number][Unit][ActIngreName][Number][Unit][ActIngreName][Number][Unit]上記の混合生薬より抽出した[Kampo][Form][Number][Unit]を含有する,8,16,3,2,Cluster  2
本剤[Number][Unit]中[ActIngreName][Number][Unit][ActIngreName][Number][Unit][ActIngreName][Number][Unit][ActIngreName][Number][Unit][ActIngreName][Number][Unit]上記の混合生薬より抽出した[Kampo]の[Form][Number][Unit]と[ActIngreName][Number][Unit]を含有する,8,16,1,2,Cluster  2
本剤[Number][Unit]中[ActIngreName][Number][Unit][ActIngreName][Number][Unit][ActIngreName][Number][Unit][ActIngreName][Number][Unit][ActIngreName][Number][Unit]上記の混合生薬より抽出した[Kampo]の[Form][Number][Unit]を含有する,8,16,7,2,Cluster  2
本剤[Number][Unit]中[ActIngreName][Number][Unit][ActIngreName][Number][Unit][ActIngreName][Number][Unit][ActIngreName][Number][Unit][ActIngreName]（[ActIngreName]）[Number][Unit]上記の混合生薬より抽出した[Kampo][Form][Number][Unit]を含有する,8,16,1,2,Cluster  2
本剤[Number][Unit]中[ActIngreName][Number][Unit][ActIngreName][Number][Unit][ActIngreName][Number][Unit][ActIngreName][Number][Unit]上記の混合生薬より抽出した[Kampo][Form][Number][Unit]を含有する,8,16,1,2,Cluster  2
本剤[Number][Unit]中[ActIngreName][Number][Unit][ActIngreName][Number][Unit][ActIngreName][Number][Unit][ActIngreName][Number][Unit]上記の混合生薬より抽出した[Kampo]の[Form][Number][Unit]と[ActIngreName][Number][Unit]を含有する,8,16,1,2,Cluster  2
本剤[Number][Unit]中[ActIngreName][Number][Unit][ActIngreName][Number][Unit][ActIngreName][Number][Unit][ActIngreName][Number][Unit]上記の混合生薬より抽出した[Kampo]の[Form][Number][Unit]を含有する,8,16,12,2,Cluster  2
本剤[Number][Unit]中[ActIngreName][Number][Unit][ActIngreName][Number][Unit][ActIngreName][Number][Unit]上記の混合生薬より抽出した[Kampo]の[Form][Number][Unit]と[ActIngreName][Number][Unit]を含有する,8,16,1,2,Cluster  2
本剤[Number][Unit]中[ActIngreName][Number][Unit][ActIngreName][Number][Unit][ActIngreName][Number][Unit]上記の混合生薬より抽出した[Kampo]の[Form][Number][Unit]を含有する,8,16,7,2,Cluster  2
本剤[Number][Unit]中[ActIngreName][Number][Unit][ActIngreName][Number][Unit][ActIngreName]（[ActIngreName]）[Number][Unit]上記の混合生薬より抽出した[Kampo]の[Form][Number][Unit]を含有する,8,16,1,2,Cluster  2
本剤[Number][Unit]中[ActIngreName][Number][Unit][ActIngreName][Number][Unit]上記の混合生薬より抽出した[Kampo]の[Form][Number][Unit]を含有する,8,16,2,2,Cluster  2
本剤[Number][Unit]中に[ActIngreName]より抽出した[Form][Number][Unit]を含有する,15,17,2,2,Cluster  2
本剤は[Kampo]の[Form]に賦形剤（[ActIngreName]）を加えて製したものである本剤[Number][Unit]中[ActIngreName][Number][Unit][ActIngreName][Number][Unit][ActIngreName][Number][Unit][ActIngreName][Number][Unit][ActIngreName][Number][Unit][ActIngreName][Number][Unit][ActIngreName][Number][Unit][ActIngreName][Number][Unit][ActIngreName][Number][Unit][ActIngreName][Number][Unit][ActIngreName][Number][Unit][ActIngreName][Number][Unit][ActIngreName][Number][Unit][ActIngreName][Number][Unit][ActIngreName][Number][Unit][ActIngreName][Number][Unit][ActIngreName][Number][Unit][ActIngreName][Number][Unit]上記の混合生薬より抽出した[Kampo]の[Form][Number][Unit]を含有する,8,16,1,2,Cluster  2
本剤は[Kampo]の[Form]に賦形剤（[ActIngreName]）を加えて製したものである本剤[Number][Unit]中[ActIngreName][Number][Unit][ActIngreName][Number][Unit][ActIngreName][Number][Unit][ActIngreName][Number][Unit][ActIngreName][Number][Unit][ActIngreName][Number][Unit][ActIngreName][Number][Unit][ActIngreName][Number][Unit][ActIngreName][Number][Unit][ActIngreName][Number][Unit][ActIngreName][Number][Unit][ActIngreName][Number][Unit][ActIngreName][Number][Unit][ActIngreName][Number][Unit][ActIngreName][Number][Unit]上記の混合生薬より抽出した[Kampo]の[Form][Number][Unit]を含有する,8,16,1,2,Cluster  2
